title,authors,language,publishedDate,pageCount,keywords,edition,description,isbn_13,isbn_10,publisher,thumbnail,likes,discipline
How to do Everything with JavaScript,"Scott Duffy	",en,2003,369,"JavaScript,Java,2003,Web",1,"This friendly, solutions-oriented guide is filled with step-by-step examples that illustrate how to write basic to advanced JavaScript applications, as well as modify existing scripts to suit individual needs. Each chapter begins with the specific how-to ",9.78007E+12,0,McGraw-Hill Education,https://books.google.ro/books/content?id=pTBvQgAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72nXWf7i18ndG672L8wbbAwpzVdeps1ftbSWb0mQyemiSJwLV94IJScCRthQS-Xo5folLKH8w9he6qqHJ1csDRCuGrujEIjaKzbVwlbTEvrYo-ZAawyktxHMVSBLKgY4GCSPuVT,0,Programare WEB
JavaScript Bible,Danny Goodman,en,2001,973,"JavaScript,Java,2001,Web",4,"Greatly enhanced and updated from the third edition, this is the title any JavaScripter cannot afford to be without! JavaScript Bible, 4th Edition covers the new powerful functionality JavaScript will gain with the release of new revs of Internet Explorer",9.78076E+12,0,Hungry Minds,https://books.google.ro/books/content?id=46MwAQAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73Md9gaDAe4C5ZvmWoPU7ST0dBDbLpZK80yXt_QUMfZUK2jUhF9XLdAUPDKvCjG405UEkfKb7iRXyCiQ47HfuPu54mVNy2WSifUjulx_KAN_XWWbdPWFTYVRXJO-CTfkxITpotE,0,Programare WEB
JavaScript and Ajax for the Web: Visual QuickStart Guide,Tom Negrino\\Dori Smith,en,2007,512,"JavaScript,Java,2007,Web,Ajax,Asynchronous",6,"Need to learn JavaScript fast? This best-selling reference's visual format and step-by-step, task-based instructions will have you up and running with JavaScript in no time. In this completely updated edition of our best-selling guide to JavaScript, leadi",9.78032E+12,0,Peachpit Press,https://books.google.ro/books/content?id=pBBO40UPmOYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70MgLGCcLl6hcorXGnVKeOwLHLEZBzcrkoFX_KhfiXHRaGv37MBVjSHEC3NlA00BFy7nw5KHp2Xen55WjpR2Zp9yzM4LzI2G5NFp6TMpl4lSzJEZcoLm3kKpAN3tDgmcqVF-CHR,0,Programare WEB
JavaScript Design,William B. Sanders\\Bill Sanders,en,2001,600,"JavaScript,Programming Language,2001,Web",1,"After mastering the design of basic web pages, the first scripting language you need to add to your portfolio is JavaScript. Even with eye-catching graphics and interesting text, today's web pages need the dynamic content offered by JavaScript to attract ",9.78074E+12,0,New Riders Press,https://books.google.ro/books/content?id=zVY9TKaVX0IC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70_A3DqnLvRqNySEhlQ2fmbnk1NosTQPXynawOoEDzJaKMp3IkgMmuA_sfJeJEpbxG_AIZJV6PaMSQk3C_2fS0b4Nf3rXfubHnTTGfXfYU0ws2tpivgFc9NYmcyyRZHcYfsR938,0,Programare WEB
AJAX: Creating Web Pages with Asynchronous JavaScript and XML,Edmond Woychowsky,en,2006,432,"JavaScript,2006,Web Design,Ajax,Asynchronous,Web",1,"By now, you're probably chomping at the bit to start building those rich, highly usable Ajax web applications everyone's talking about. Wouldn't it be nice if one book taught you all the Ajax techniques you need and also gave you a needed refresher on the",9.78013E+12,0,"	Prentice Hall",https://books.google.ro/books/content?id=SwsoAQAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70-M6Iiz62SI298ZctmmQtzJ7kagWpKcibIlXV5zqxn1CIZyEchqnaCxrfCsaIcghfOT8KiY8e4xA0XBIBTzf-qUP8M75_X1AbIt1I72FFWr4iwEmaGnz-deNWPBkVxYOlx7Y9m,0,Programare WEB
JavaScript: The Definitive Guide,David Flanagan,en,2006,1032,"Programming Language,JavaScript,2006",5,"This Fifth Edition is completely revised and expanded to cover JavaScript as it is used in today's Web 2.0 applications. This book is both an example-driven programmer's guide and a keep-on-your-desk reference, with new chapters that explain everything yo",9.7806E+12,0,O'Reilly Media,https://books.google.ro/books/content?id=4RChxt67lvwC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70mvAOUxXKvIQPq3GbDw8z_dJ9Ur9LnaNTQRGw9xmUddujfSvtRWDF7wwj-Gy1X6jDeSWBsrW3PeUfONs4i-zfHnu6IMzKgVucDls-F6yJseKwKXN4Y1h3KttkED-kmGMTD2llT,0,Programare WEB
"The JavaScript Anthology: 101 Essential Tips, Tricks & Hacks",Cameron Adams\\James Edwards,en,2006,612,"Programming Language,JavaScript,2006",1,"Using a cookbook approach, The ""JavaScript Anthology will show you how to apply JavaScript to solve a multitude of common Web Development challenges. You'll get answers to 101 questions ranging from ""How can I format the time into a 12 or 24-hour clock?"" ",9.78098E+12,0,SitePoint+A8:I8,https://books.google.ro/books/content?id=GztmQgAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73zTwa34OCOijNcjW5rGdXgfuNiO8MLYdx34cuYbEAIHkJLepyGKiiCaMQkbNT1xX85oNsDF2jCdt6f7cNaUHpApC_GVHOv8TCqwqlhVunXePBaEnjKMd1juPlLtAUb1eKBt-wn,0,Programare WEB
Essential JavaScript for Web Professionals,Dan Barrett\\Dan Livingston\\Micah Brown,en,1999,162,"Web,Programming Language,1999,JavaScript",1,"* Build better Web sites with JavaScript-right now!* Fully updated for the latest JavaScript standards and browser support* Learn from real-world examples and two live practice Web sites* Browser detection, dynamic content, CSS, rollovers, logins, navigat",9.78013E+12,0,Prentice Hall PTR,https://books.google.ro/books/content?id=CHeRQBTcP9YC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71D2wYOEUAgNi0CbhlwU8GI_uUoFXJwQuYz0WIhjzhRllWMj-RX4YHz92BkT2b9pzxic4fwv9ZtHLZBQy1sTYQqS18XicqhnLkjpKVDRZGseT7Pjvmi2khMxYdztFE5daj62dAZ,0,Programare WEB
JavaScript: The Good Parts,Douglas Crockford,en,2008,172,"Programming Languages,2008,Web,JavaScript",1,"Most programming languages contain good and bad parts, but JavaScript has more than its share of the bad, having been developed and released in a hurry before it could be refined. This authoritative book scrapes away these bad features to reveal a subset ",9.7806E+12,0,Oreily,https://books.google.ro/books/content?id=PXa2bby0oQ0C&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71Rx59Rsnbann0LnZpAuT3p1Odp7Uf4Hudc-Gziu5RN5Lr553nuCaCevg6nnrkwesZG55gqJSDT5bCPBMJeJ3dVB5SgOwZsIVN2206CqPqF1aZhKODSgJPttVuX1zMOt8JSK4kc,0,Programare WEB
Eloquent JavaScript: A Modern Introduction to Programming,Marijn Haverbeke,en,2011,227,"Programming Language,2011,JavaScript",1,"javascript is the language of the Web, and its at the heart of every modern website from the lowliest personal blog to the mighty Google Apps. Though its simple for beginners to pick up and play with, javascript is not a toy—its a flexible and complex lan",9.78159E+12,0,No Starch Press,https://books.google.ro/books/content?id=9U5I_tskq9MC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71-Ndp1w5kd6iAOuMNRjfD7Rhpb7LzMz1vq3SW4VlSUz1pyLZw6LddPRwkZT6S0n0iKK51ae7HgQNXkJy2jwvgXrBXbkQYubLdeYcqoKSvGMwOaczEr0lKDxspcM5hQt4Y_R2Jt,0,Programare WEB
A Smarter Way to Learn JavaScript,Mark Myers,en,2014,288,"Programming Language,2014,JavaScript",1,The authors of javascript books are probably some of the brightest people around. And maybe thats the problem. Maybe they dont know how to relate to those of us who may sometimes struggle to learn. My sister is a wonderful dancer. I dance like Bill Gates.,9.7815E+12,0,CreateSpace Independent Publishing Platform,https://books.google.ro/books/publisher/content?id=UaUUBQAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72ahHucODOiG9R44rzsmVDuNvpSqGI-vPYAmIMfWNT94RE0PCRp2mnPt5wQ3uwLDbs31lIx9G3dhFoWmTUkhd4IUO2QZI9HjV3VM7bDJ6TDlIz7pWQ3Gt1QqGfoHE4jaI77AhPx,0,Programare WEB
Secrets of the JavaScript Ninja,John Resig\\Bear Bibeault,en,2012,364,"Programming Language,2012,JavaScript",1,"If you need this book now, go to [...] and order it from the Manning Early Access Program. Thirteen chapters are completed. This is a must own book for professionals. Also consider Object-oriented Javascript and Pro Javascript Design Patterns. If you are ",9.78193E+12,0,"Manning Publications	",https://books.google.ro/books/publisher/content?id=uYoUBQAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70GtKoZMdVoskeZMNuM92VZv-ynUlLVR4TDPwFQtGcj6FN_vPGde3dLNvJC9-TdcG2kWWFXowre8Y-Gm3tMYrOLxDI4Pjf5Zit4SQ1bIX8PjHKeHFPYEflcFeeQ_N44V4xj1Vfp,0,Programare WEB
Professional JavaScript for Web Developers,Nicholas C. Zakas,en,2005,674,"Web,JavaScript,Programming Language,2005,",1,"* Dispels the myth that JavaScript is a ""baby"" language and demonstrates why it is the scripting language of choice used in the design of millions of Web pages and server-side applications* Quickly covers JavaScript basics and then moves on to more advanc",9.78076E+12,0,Wrox professional guides \ Programmer to Programmer,https://books.google.ro/books/content?id=Wmfr1Zp7d5EC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE73BgglNtteoYR9UTbmc0EmGmR14PHA7lND-mQ1Azfjgsxcf5EylyeRaEZT2PBqIN-_W2yN-HTP6jnZAkraFfDmLSQxI43qswXX2Ta6cSDj3jNLR2XUnM3Rj8f4JymlHXkk6fuvc,0,Programare WEB
Head First JavaScript Programming: A Brain-Friendly Guide,Elisabeth Freeman\\Eric Freeman,en,2014,704,"Programming Language,JavaScript,2014",1,"What will you learn from this book?
This brain-friendly guide teaches you everything from JavaScript language fundamentals to advanced topics, including objects, functions, and the browser’s document object model. You won’t just be reading—you’ll be playi",9.78145E+12,0,O’Reilly Media,https://books.google.ro/books/publisher/content?id=eSIsAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72dHL9XFlPEaujXxhrGKS2N-meY4pDDIG2EQfuFL1Ui8MUDsmfAGFQgGIYw33sRhv3L6xMljE5o_BxhpHmdr78Ibio2NOuF6qwXei_3Vp-e3ONPNStnOFv77v87soSqnbDsFewX,0,Programare WEB
Beginning JavaScript,Jeremy McPeak\\Paul Wilton,en,2007,791,"Programming Language,JavaScript,2007",3,"With this up-to-date guide, you'll find everything you need to know in order to develop interactive, robust, and personalized pages using JavaScript. It takes you step by step through this powerful scripting language so you can begin enhancing your site r",9.78047E+12,0,"	Wrox/Wiley Pub",https://books.google.ro/books/content?id=SWBar3NkSBcC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73wLqA58mUk6NuSG3PPIPCIlyI13t7xGekxNbMBmKEjDNMO4ctma40uUqNwWaOgi_KFXHne_fx3dmceaiTQCSpKnv9vmcqCdgFBT9FNeAtW2QLHVOYAgIbYcGz41Yg4FlMnznoP,0,Programare WEB
You Don't Know JS Yet: Get Started,Kyle Simpson,en,2020,143,"Programming Language,JavaScript,2020",1,"It seems like there's never been as much widespread desire before to learn JS. But with a million blogs, books, and videos out there, just where do you start?The worldwide best selling ""You Don't Know JS"" book series is back for a 2nd edition: ""You Don't ",9.7986E+12,0,"Independently published	",https://books.google.ro/books/content?id=GwpVzQEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73pUxtxh2-YmHSp6O8JaOgsfdYcVQUnI_0Mbw6BG6yRaby-b25iNxDWIYwS0Y0osrwntRGaXLz6C8VVSxq_pzyC89gNaiq1wGa73g3pEZfwIfZoGrVMHIjncgpL2OLh4vCmQEAc,0,Programare WEB
Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript,David Herman,en,2012,240,"Programming Language,JavaScript,Web,2012",1,"In order to truly master JavaScript, you need to learn how to work effectively with the language’s flexible, expressive features and how to avoid its pitfalls. No matter how long you’ve been writing JavaScript code, Effective JavaScript will help deepen y",9.78032E+12,0,"Addison-Wesley Professional	",https://books.google.ro/books/content?id=nBuA0hmspdMC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72ANLqGYVPi5rU6LxJ1Gcw_e09kxT1gcAGbwSoiEvb6EmOHyC4DwQdKW5OTTVTYr2ysX18i_SV7VCcNsZYmw2JUpREqoDp_iEcaZugWlFB8o6XEoqsEh3vJ18EGcHK_prQTWhnM,0,Programare WEB
You Don't Know JS: Up & Going,Kyle Simpson,en,2015,88,"Programming Language,JavaScript,Web,2015",1,"It’s easy to learn parts of JavaScript, but much harder to learn it completely—or even sufficiently—whether you’re new to the language or have used it for years. With the ""You Don’t Know JS"" book series, you’ll get a more complete understanding of JavaScr",9.78149E+12,0,"	O'Reilly Media",https://books.google.ro/books/publisher/content?id=3iWABwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70aYKHI-iyr8ee03xwVtztQ1E3MvNINiQiP_bMsj5n2gwuMlkW9S1QRH8iFFzRN-t0HuZDOkTPu_YUgp3PGLiUZWVCSaZncduWKnriD8sw_DRzT-6km5p3ql1IYEvFZVXt1URjU,0,Programare WEB
JavaScript and JQuery: Interactive Front-End Web Development,Jon Duckett,en,2014,640,"Web-design,Libraries,Web,Programming Language,JavaScript,2014",1,"This full-color book will show you how to make your websites more interactive and your interfaces more interesting and intuitive.

THIS BOOK COVERS:
Basic programming concepts - assuming no prior knowledge of programming beyond an ability to create a web ",9.78112E+12,0,Wiley,https://books.google.ro/books/publisher/content?id=LpctBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72Qz6uaiHpdVRggBicDN_isRPZOJMx9eTDX4LZVX9uEumGKWohRTyPJIDs34_0B1bdCRtPQepTIZrO3UjMolVxdvx9yd4eLwYSG-SLq7C1E62_A41BA6egR3nAsjCvBiKrQg3jE,0,Programare WEB
Pro JavaScript Design Patterns,Dustin Diaz\\Ross Harmes,en,2007,298,"Web-design,Programming Language,2007",1,"As a web developer, you’ll already know that JavaScript is a powerful language, allowing you to add an impressive array of dynamic functionality to otherwise static web sites. But there is more power waiting to be unlocked—JavaScript is capable of full ob",9.78159E+12,0,Apress,https://books.google.ro/books/content?id=za3vlnlWxb0C&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE72vnEDR5ZKtheFuMzIQC-LqySV_pc_6RhpvRLe2jCpqQSNHu9RzejX8PuXlub4nkUbPUb4bkWRX42AS9EgWCKUlmfuvu6IUAdZ-U5K27ZbVxDEG7u4Jrww1UNUKPxrvJdG9IHqz,0,Programare WEB
Network Warrior: Everything You Need to Know That Wasn't on the CCNA Exam,Gary A. Donahue,en,2011,788,"Networking,Protocols,2011",2,"Written by networking veteran with 20 years of experience, Network Warrior provides a thorough and practical introduction to the entire network infrastructure, from cabling to the routers. What you need to learn to pass a Cisco certification exam such as ",9.78145E+12,0,"O'Reilly Media, Inc.",https://books.google.ro/books/content?id=wf-Vncr3WOAC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71bJRs4WIQ3WRhDb4-Dy0hdQdoKNwof-xn9GbARfs5r51GffcUb0pBFUYoh8Buw8wFNZPGHGRlP5NPKG1EJkxwHdqB1uZfGWX_pVyb6dWnI8_rxG-8GqFGvKHVOL1OboEm2pGg3,0,Re?ele de Calculatoare
Computer Networking: A Top-down Approach,"James F. Kurose, Keith W. Ross",en,2007,140,"Networking,Protocols,2007",3,"For courses in Networking/Communications.

Motivate your students with a top-down, layered approach to computer networking

Unique among computer networking texts, the Seventh Edition of the popular Computer Networking: A Top Down Approach builds on the a",9.78032E+12,0,Pearson/Addison Wesley,https://books.google.ro/books/content?id=6RoORAAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE723eZTPZhlvXKiqaCvPyX5kfiR8a76FHwHALgOSXiKFjPu9mJimINksC96Hq1S3KEX3N4nNx6XBfRCsOK92q7JYVRJ7YNNLyXwkpLF0Nz8sTF4RKkCKU_Fpwy-fzSJ7AWvS-tll,0,Re?ele de Calculatoare
Data Communications and Networking,Behrouz A. Forouzan,en,2007,1134,"Networking,Protocols,2007",4,"""Data Communications and Networking 3/e"" provides a comprehensive and current introduction to networking technologies. The book is accessible to students from all backgrounds and uses hundreds of figures to visually represent concepts. This new edition ha",9.78007E+12,0,Huga Media,https://books.google.ro/books/content?id=bwUNZvJbEeQC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72zKxdIbMVKgUpFbB7jsHdFQK0NF2FCtCpoQfED4PGv9Lv9tLRbcTAhhKKhZYar063nu2OFKTIrEtGYEGAR-7ZAIOg-oNjiOuuNndfcCMDAQHmmtH98LvywD10CuB4rimbBc6Xf,0,Re?ele de Calculatoare
React. Js Book: Learning React JavaScript Library from Scratch,Greg Sidelnikov,en,2016,117,"Frameworks,React,Web,JavaScript,React.JS,2016",1,My fourth web development book is simply called React.js Book. It will walk you step by step through the process of setting up a development environment and learning Reactive programming from start to finish. React is a library unlike any other I have wor,9.78152E+12,0,River Tigris LLC,/googlebooks/images/no_cover_thumb.gif,0,Programare WEB
Learning React: Functional Web Development with React and Redux,Alex Banks\\Eve Porcello,en,2017,350,"Frameworks,React,Web,JavaScript,React.JS,2017",1,"If you want to learn how to build efficient user interfaces with React, this is your book. Authors Alex Banks and Eve Porcello show you how to create UIs with this small JavaScript library that can deftly display data changes on large-scale, data-driven w",9.78149E+12,0,O’Reilly Media,https://books.google.ro/books/publisher/content?id=pMTADgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72D1GqQO70aBRpAAlHWsjnxIujbdfhV4h2EawM7xktirxmzz4isxA9796B-AWr07LIn76L8k9-G-FlXqxoE20v5wDtKUOjIxXW7K3Q2W-U-NDITXJNkxM0K_FE5NrH2p1ZRv0QU,0,Programare WEB
The Road to Learn React: Your Journey to Master Plain Yet Pragmatic React. Js,Robin Wieruch,en,2017,188,"Frameworks,React,Web,JavaScript,React.JS,2017",1,The Road to learn React teaches you the fundamentals of React. You will build a real world application along the way in plain React without complicated tooling. Everything from project setup to deployment on a server will be explained. The book comes with,9.78199E+12,0,CreateSpace Independent Publishing Platform,https://books.google.ro/books/publisher/content?id=RRLmDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE70oe5uwEWTy_FvGyjUORrRHYb5oK17nL1rIOr27EPGZgZ5NHT6S9LqalQkZuLdWHw6hZ5-hxW714_i-JdpCN14sQxdG8FLID689UQwdBMN0XRFgRpbw3rk3zUJHea0p90USpndW,0,Programare WEB
React Explained: Your Step-by-Step Guide to React,Zac Gordon,en,2019,368,"Frameworks,React,Web,JavaScript,React.JS,2019",1,"Updated June 2020!
React Explained is a fun and enjoyable introduction to React, which is the Javascript framework of choice for WordPress, Drupal, Magento, and thousands of developers.",9.7818E+12,0,Independently Published,https://books.google.ro/books/content?id=NP9nwwEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73Cbp2SBGmnCaOp5dW8hnEkzcUFaiXhdWDoazWmukl0ybPio4wjnqgrL84Fh9-F5sGz8SH_Gn0jlo1aIgkjfszkdTsEjT8RRnCF3EB3v0t6Z9dIi0dmnFs0RJsLik_LliepHrHr,0,Programare WEB
Fullstack React: The Complete Guide to ReactJS and Friends,Accomazzo Anthony\\Murray Nathaniel\\Lerner Ari,en,2017,836,"Frameworks,React,Web,JavaScript,React.JS,2017",1,"Stop wasting your time learning React with incomplete and confusing tutorials.

There are so many incorrect, confusing, and out-of-date blog articles

One tutorial says one thing and another says something completely different.

There are too many options",9.78099E+12,0,Fullstack.io,https://books.google.ro/books/content?id=ppjUtAEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70Lu0ICOUl80SuCDAPg5UNfPR4hnyqQPyVB0W1qjolOtzHM1IlqsCv0lc3EoARfW2bSStahdfm6RU87caUwe0midFq8gljvXWvJW7drfsCNwlNgWUSrEK-DmRPsMmsTAFCq5uOW,0,Programare WEB
